User,Rewards Earned (Wei),Rewards Earned (Ether)
0x5f9AD501dc86A5C05818D1e6363C545Ae5f1C7d2,2127908670378544444579825,2127908.6703785
0xCfb25Ed1F1b433f274Bc1E0640c8380421d0b9cf,5954734592979596689139807,5954734.5929796
0xf8e50c23eEB69b3E6dF7A92316061451CD648528,36456959075654130805459030,36456959.0756541
0xA7396814b9946f3fd1616410985aF0258412477c,12165703032894722594238972,12165703.0328947
0x38E9F6A8a8024b21B37a270D7dE362E7b9237bd0,97945955960790802181564,97945.9559608
0x44f86b5fa8C8E901f28A933b6aCe084f45A3d65c,900824393618673458890,900.8243936
0xa8B8b29851FD363044D0adfFfD44aD1B32606AD3,3854211010529049739284140,3854211.0105291
0xc7CFD7838e593e1bd2aeA39062961cC43B717774,6121533772981150202012707,6121533.7729812
0xfC2B89D22195045161e6419BDf3E5D2744Fbbae7,21832216152792780145920601,21832216.1527928
0x52aa210ff6978D024D80aD38D52Cc821D93ca6d8,4374412352359717795598688,4374412.3523597
0x4cfeA1f3cd9165B528fF07D24Bf075A75cbcD5e8,17749922364161400442841155,17749922.3641614
0xEc4ff532E317831227EE504838BdaF0d04B2b5ae,0,0.0000000
0x3Cf9771C961af8727EF5E9b955419cf80b34bcd4,0,0.0000000
0x0ef792C61375133f06BEcb81d0966b96bbc9cEa2,651042445541621262527350,651042.4455416
0x30c568c5d6f9fb383986cFD6dD99EfFc0444b869,31776373659056531194553,31776.3736591
0xb6F9E4c6DB0c4F3a7E8AfF01077E601A7626409b,2622515780483289047380855,2622515.7804833
0xF8328c7aA1A9FbFB975959B9393d940E220d3971,2530873437371928004001,2530.8734374
0xBeadB1638Cb46De09b691a11A9070D284445dFEe,1277564631564945388594417,1277564.6315649
0x0BAc8B591A19a0A6cD9Caa4e56FA17727de54d42,183400058107930661992843,183400.0581079
0x2a51487336f8680A2D7827417bEAc6236F7ef7ae,0,0.0000000
0xbB63dE9C37f2905F65E2026d42Bdc9c00C42f3E9,3771831170859014020123,3771.8311709
0x95b7e76d778A0F684768662D488D1670A6D547dA,52276231474362801132345,52276.2314744
0xE43139c1098A4f6833a27193daeeE84Ef6F3722F,54902821472856501531427,54902.8214729
0x94B62A3b131bbe6B66F35028c7b65156970Bb091,58113185416045823351809145,58113185.4160458
0x48b87a0B46A535207f9643419666454E1eb89CCA,1178158635820472405770167,1178158.6358205
0x7442D8c8B51B4d2f23CA69B630fb97E5EBf42d6d,4562993483231389804361867,4562993.4832314
0x9A7ACE9532EDbF2bCa82AB4718C91d85Ea54fBdE,5663338964351240600022149,5663338.9643512
0x7B415009888deF9B1B5b6A5b3C09585C417caB02,6477126505630896694751932,6477126.5056309
0x1777EA2C90C2d14d8365e57ee77975575eA66ACC,7886897036138345708251834,7886897.0361383
0xd9f8228B545Cb91e18f780099995Bab596a2F1A5,3248423753617394423563549,3248423.7536174
0xf97d133082F7db7eCb7ADD916D04f0A9DD6712a9,889998161226618817371694,889998.1612266
0xaB4131c81d588FAc981DBf1ef5f5275c10f64950,424034972719256691590988,424034.9727193
0x464d147f38ea2b3AEeCa5D0abeBbA98998f9Ac5C,1929433017325462272705549,1929433.0173255
0x84BA3875bdBD2BccdD3cbac2eF242E8013E595c9,201658195358680142486902,201658.1953587
0x1AC8d5f6fD417Ab2909a310bA671500CEabc0AED,149945483404872637124952,149945.4834049
