User,Deposits (Ether),Withdrawn (Ether),Claimed Purse Rewards (Ether)
0xfe6e9353000a31B9C87F4EAE411C89b1E355Ba50,487,409,143999
0x7D6a7Af8aF4Fb60044085713619c161D703331c5,200,200,0
0x7ffF1B29eF36c82Ed62C4DaF7A242950d920C83a,490,490,71258
0x94B62A3b131bbe6B66F35028c7b65156970Bb091,7281365,4412162,2574698549
0x44f86b5fa8C8E901f28A933b6aCe084f45A3d65c,4254,4145,344366
0x962699877786E67C883485C08C7810B3588FB73e,157828,157828,25527192
0x84BA3875bdBD2BccdD3cbac2eF242E8013E595c9,59437,16813,5442564
0x2155b6278c4EA9Ea50A43801304EF5c7454053F7,1314,1314,781
0xE43139c1098A4f6833a27193daeeE84Ef6F3722F,10166,4183,2457007
0xfD00A16087BA588F69c13e83753D45c39eeD9078,770466,770466,157650917
0x5904d192E78df1BD98728273633aCccEd8216b63,658291,658291,139368051
0x440CbcE3Bee8Bd6ffaB3EAFBDA3e2Aa3b304f19E,161517,161517,28725358
0x459e43485750A64E694A41db89f49A10B3B4225e,1577,0,310763
0x7442D8c8B51B4d2f23CA69B630fb97E5EBf42d6d,479974,479974,72332376
0x9A7ACE9532EDbF2bCa82AB4718C91d85Ea54fBdE,635951,635951,126768229
0x7B415009888deF9B1B5b6A5b3C09585C417caB02,679571,679571,169554552
0x1777EA2C90C2d14d8365e57ee77975575eA66ACC,828521,828521,114698302
0xC52D98D052e5CC5E5D82C11eC4CE686739427E87,629,629,13619
0x4b1c627A2250ea8973F5CDef89fc1814BD6Eccd7,8979,8979,637442
0x8d43c8b212dc2527e7356227890A1fc24dD047ea,2560,2560,304000
0x6B18De6c42C9F6D6D04Eef51912DA5A6220463D4,34900,34900,6283051
0xa8B8b29851FD363044D0adfFfD44aD1B32606AD3,335068,334057,23445326
0x683E0FFBe91AEf6aAbf67cDA2c1CCdF53e5f905B,5493,5493,215867
0x52aa210ff6978D024D80aD38D52Cc821D93ca6d8,754925,181917,73047107
0xf8e50c23eEB69b3E6dF7A92316061451CD648528,5187108,2671547,382402440
0x0c6717953b543Df36F2Dd1323FCE0eb62B801687,11876,11876,2125805
0xd952010BAFcAdB7a2052EE697C883A0565A8c01E,1342,1342,1596
0x148cd60Eb9B1991Bc1faD10D59cC0FA255361BD3,2542,2542,63645
