User,Deposits (Ether),WithdrawLockedStake (Ether),WithdrawUnlockedStake (Ether),Total Withdrawn (Ether),Claimed Purse Rewards(Ether)
0xbDC14c0B7cE6DDD1d97D81D7cCE5781Ca6cd0a94,480572,0,0,0,0
0x440CbcE3Bee8Bd6ffaB3EAFBDA3e2Aa3b304f19E,7830656,0,0,0,0
0x9A7ACE9532EDbF2bCa82AB4718C91d85Ea54fBdE,182588869,0,0,0,3634497
0xe20a62cE0439A8eA677cb8F530B926C9067dc82E,170868,0,206419,206419,0
0x7D6a7Af8aF4Fb60044085713619c161D703331c5,1,0,0,0,0
0xF72b818Ba49729aa6C5D454b46315d0c24A3D622,213174,0,257531,257531,0
0x6F6fed4D2a28d9B11C323a667F58a5dcc36E6e7E,9391,0,0,0,0
0x700ed3997F735bE92aDF9e0B15214A892e6d89Ea,354839,0,0,0,0
0xc44cD42477F75cA121c07d4717256Aa001F28bF4,10721,0,0,0,0
0x8A85A9165F842ee581E891706450C5C8E2874F32,159926,146773,0,146773,0
0x8dA1F844837a34C6a3898E9f21791f2C4d33aEd7,7230337,0,5993653,5993653,0
0x84BA3875bdBD2BccdD3cbac2eF242E8013E595c9,10310438,5468671,732766,6201438,70054
0xA5D7Ee1BeF541d9a649b4BEdfAB3Ccc1d4583B5F,342257,0,106993,106993,0
0xB15a93380Ab21666c549B51cc247c589814568B2,1300000,0,1362100,1362100,0
0x31f8Cd2FE6aCD741Ac89A98314dC4A38a506106E,6813374,0,0,0,0
0xdFc95438f1E3DC0d6942751AAeF6af64955e0d90,27000,0,0,0,0
0x07adCE2500AA718ff53b1E9146668539299854a0,54152,0,0,0,0
0x7B415009888deF9B1B5b6A5b3C09585C417caB02,195454974,0,0,0,4743047
0xAe3281D209EAf8651d2F268F4814e8dec2EE3bd3,24876264,0,0,0,0
0xE3942F93D5569361f83BDD797D399F400609BeEa,16424962,0,0,0,0
0xB5eE9eF57ffE197B24f33f2854B8B4E4203fD94F,4593550,0,0,0,0
0x4cfeA1f3cd9165B528fF07D24Bf075A75cbcD5e8,817548,114178,0,114178,0
0xd9f8228B545Cb91e18f780099995Bab596a2F1A5,70798687,0,0,0,1020190
0xd219b15Bd4AC6D3E8bB4Cb86921cC4b0a6fDBe6E,1661330,0,1693599,1693599,0
0x7ffF1B29eF36c82Ed62C4DaF7A242950d920C83a,131824,0,0,0,0
0x212214f9F6c3200d87d962f01B8A230bD982D70f,852125,467154,477465,944619,0
0x8f169010AcbD5ec97663eE1A52a69ac4a6d7610b,330000,0,0,0,0
0x1896Ce7a0Da463CA26b108dAD0a9E44581e226d1,3379858,2409804,1176756,3586560,0
0x27D31C47A83DDD91F119F8CD0189Ff1eEa2EE1e9,7600,0,0,0,0
0x459e43485750A64E694A41db89f49A10B3B4225e,195734,0,0,0,0
0x0B8D643956AF4a67165aD413D257e25CDF26bd53,531224,27253,413974,441227,0
0x62be1DaF60c3D0258e86e29a16D2B29c8E5F7174,106604,0,59639,59639,0
0xA68598f861Cc11DD3e358E29710aDb83f628Da8D,118145,0,66941,66941,0
0x290018Ea4bEB6661169005B106C2A7C068B543FE,431261,0,0,0,0
0xa7636eeF4fe5118888DBB1Ce02baFB07D485181f,8002947,4138861,4117933,8256794,0
0x4B99A61CD576F205Daa8eCC1B3EdC6a0b18c22b8,1000000,0,0,0,0
0x5FCD33172F686e13744dcE50F9e37BdaF6d7c41d,164026,0,196948,196948,0
0xbC74e4a6db0024f6Db085A720c3AC88F67d607bC,155106,104353,70238,174591,0
0x5904d192E78df1BD98728273633aCccEd8216b63,138941754,0,0,0,3367770
0x7442D8c8B51B4d2f23CA69B630fb97E5EBf42d6d,71011169,0,0,0,1447860
0xbeb51d5716b58af1cd5D22676890294864081359,450859,432917,47448,480365,0
0x1777EA2C90C2d14d8365e57ee77975575eA66ACC,113896573,0,0,0,2308246
0xA409f3c72FCc50FEad15b9f55056d1997CcF05E0,7259,0,0,0,0
0xf5f59BB7e6eC9F4Ce51Ff9aeE538cF048affF0a1,184045,0,0,0,0
0x3a29532Ff85c3Ca11A1E7Ed29F3cD16B4bFF1B8E,39186,0,0,0,0
0x1AC8d5f6fD417Ab2909a310bA671500CEabc0AED,1514960,0,499209,499209,0
0x459995f7726Abec975BDECAB5847E6260aE9de50,3932191,3052120,1121770,4173890,66331
0x62dE7a057222F427CDadF768771c11C2669B4a63,2386,0,0,0,0
0x06f3fFfE777D69c0575BF51357D2e965F6385D9b,256521,0,0,0,0
0xEE533389bd27C24B467e5c1439BC12f386694e7A,3375408,2977824,565310,3543134,0
0xA012b7159093BcBF5767EAdd38Fd22f00dB58a67,1238045,0,0,0,0
0xf8273b2a2df22CAc4Cd81302cD56DeB9Ae9fd488,39285291,36804400,0,36804400,0
0x370EAc915C7B7aad019f431F75F185843013011D,14307471,0,73728,73728,127468
0x2407900b68B18dBcf9ee9dC43110Ad422695305c,1029515,101210,511169,612380,0
0xB23AEC052df48c5683dB203a56ce837bDC1a315E,4657,0,0,0,0
0x4C5C1D24e4eECB3C282E7aB85cC55D44938Af7e8,720850,0,0,0,0
0x695b94e3542A0FB0fe1aE94326228Ce93eC5Ab69,29569,0,0,0,143
0xf8e50c23eEB69b3E6dF7A92316061451CD648528,170011119,170148174,147,170148322,0
0x01FCfE0ee404EbAd8cF4C353f166B58460152665,2602738,0,0,0,0
0xd1000a104e51406390E2701b0E37f49f5AA4F8cf,1514187,0,1752934,1752934,0
0x4eAA353c176A6c9C51589E5EFDbDbEeB79567F55,711590,0,866733,866733,0
0x9c91e90c454BF69AB35D82A32C218d05082b7b32,248634,0,137669,137669,0
0x39fB457Ab34b00e0117d7380E216ea9EDfAe0c38,83149,0,103305,103305,0
0x29ceA1EB09a8DA0311Be554D76c7827B658C1e21,200565,0,0,0,0
0x3290C7d3A88BfCdFc397a209817233Ed8A4c215d,1356501,0,0,0,25652
0xE6b6B7E5134353f274b641e1f7513FdaD852A0b1,180868,0,0,0,0
0x6Ad18B3cEe256641A453CE3816078cC636507F16,46917,0,0,0,0
0xBf8c73CA501Be9F3667C37EB261192A30949e07A,11450310,4636663,1418913,6055577,244365
0x7140432882E6D0A344eAFCF104da9D4D3765bdD9,272692,0,0,0,0
0x44f86b5fa8C8E901f28A933b6aCe084f45A3d65c,912284,15318,274682,290000,31751
0x65c70A2aA8A5150B7DE62D24B59Ac94E16d1f215,7154211,0,0,0,177639
0xCd3ac739840df80e3943cD26B6b82590C978e0b6,207824,0,0,0,0
0xDD46E46cf61757Ca5534e8573B5340EF9525F72d,1071822,0,0,0,0
0xC0e27FB2591a5B076d414a5E1842A66eEB4f9521,735959,0,0,0,0
0x38cD896C136EFbc36e275790184a7525C6891740,11892,0,0,0,0
0x5ec45a8E9c02846a0eb447e87CaE3f07572f7CF6,18399,0,0,0,0
0xDE4E5b6AeB5Ad571a94e84311aB8b500a002c302,1106311,442503,410569,853073,0
0x1D1f08831551dAC20993736a39af3A88916B8323,182920,0,63724,63724,0
0x67572E8bc9CF12643B1730EBEa8D2f8621B2D6F6,207090,0,0,0,0
0x693905eC9eE4390cC8214b25C308129cC01b118E,489808,0,0,0,0
0x4be353187154c1D162aa15acb86C6b221a17275D,5078722,0,0,0,0
0x9069Fc86cE461920F208F0A7AE84413f41a85f17,1266757,0,709333,709333,0
0x99e94C8BeDCd3BF3d0824cC824820B99eab3a4af,28967641,11555078,10559142,22114221,0
0x2155b6278c4EA9Ea50A43801304EF5c7454053F7,108800,0,0,0,0
0x8aD9bE2976A89C294D5a4d7500187484C94E121b,326949,217271,133286,350557,0
0xBeadB1638Cb46De09b691a11A9070D284445dFEe,13149384,0,0,0,357003
0xc1411F02eEF62239E111AC03420CA26e97225B3F,2628195,0,2507638,2507638,0
0xDaA3FBDFcBc8c3426cBD7c4112d688817077a8Cf,19613,0,0,0,0
0x43ba5F0a1203F3A33C89089B30008926f0615D57,1855175,733209,652093,1385303,0
